Emotion,Tweet,,,,,,,,,,,,,,,,
frustration,"A pervasive sense of hopelessness blankets the post-war landscape. Yet, within it, the seeds of resilience sprout, offering the promise of a brighter future for both humans and animals.",,,,,,,,,,,,,,,,
shame,"Yuddha ke haalaat se bahut dar lag raha hai. Ab kya hoga humara future, humare family himaraghar sab barbaad ho gaya. Kyun log ek dusre ko jeenay nahi dete?",,,,,,,,,,,,,,,,
hope,Is yuddha mein itne saare maasumon ki jaan kyun ja rahi hai?,,,,,,,,,,,,,,,,
guilt,Yuddha ne humein apni bhoolon par sochne par majboor kiya hai. Kuch faisle humare jeevan par bhaari pad gaye hain.,,,,,,,,,,,,,,,,
disgust,"In the midst of war, the atrocities committed are beyond comprehension. The disgust and horror at the inhumanity witnessed are overwhelming????.",,,,,,,,,,,,,,,,
hopelessness,"Yuddha ke baad, ek overwhelming sense of hopelessness hai. Par kahin na kahin, ek nayi shuruat ke liye kuch asha ki kiran bani rehti hai.",,,,,,,,,,,,,,,,
resilience,"Yuddha ne hamare samuday ko test kiya hai, lekin hamari takat aur taaqat ka izhaar bhi hua hai. Rebuilding ki raah par chalna mushkil hai, lekin mumkin hai.",,,,,,,,,,,,,,,,
frustration,"Yuddha ke consequences mein humein ek feeling of frustration hai. Aisa lagta hai ki hum kuch nahi kar sakte, lekin kya humein is frustration ko constructive change ke liye channelize karna chahiye?",,,,,,,,,,,,,,,,
empathy,Yuddha ne humein ek dusre ke dukh mein shaamil hone ki zarurat ko samajhne ka mauka diya hai. Hamara ek dusre ke prati samvedana aur sahayog ek majboot samvedana ko paida karta hai.????????????,,,,,,,,,,,,,,,,
compassion,"Yuddha ke baad, ek call to extend compassion not only to fellow humans but also to the suffering world around us. Ek collective effort to rebuild and protect the diverse forms of life that share our world.",,,,,,,,,,,,,,,,
grief,Yuddha ne humein bahut se masoomon ki mauton ka dukh diya hai. Hum sab milke unki yaadon ko sammanit karte hain aur unke saath anuyayi hain. ????????,,,,,,,,,,,,,,,,
gratitude,"Yuddha ke baad, gratitude humein yeh batata hai ki har ek pal, chahe woh insaan ho ya janwar, bahut keemti hai. Ek ahsaas ki humein har zindagi ki qadr karni chahiye.",,,,,,,,,,,,,,,,
shame,"Yuddha ke halat se bahut dar lag raha hai. Ab kya hoga hamara future, hamare family himaraghar sab barbaad ho gaya. Kyun log ek dusre ko jeenay nahi dete?",,,,,,,,,,,,,,,,
hope,Is yuddha mein itne saare maasumon ki jaan kyun ja rahi hai?,,,,,,,,,,,,,,,,
guilt,Yuddha ne humein apni bhoolon par sochne par majboor kiya hai. Kuch faisle humare jeevan par bhaari pad gaye hain.,,,,,,,,,,,,,,,,
disgust,"War ke beech mein jo apradh hote hain, woh samajh se pare hain. Jo inhumanity dekhi ja rahi hai, uss par jo disgust aur horror mehsoos ho raha hai, woh bharpoor hai.",,,,,,,,,,,,,,,,
hopelessness,"Yuddha ke baad, ek overwhelming sense of hopelessness hai. Par kahin na kahin, ek nayi shuruat ke liye kuch asha ki kiran bani rehti hai.",,,,,,,,,,,,,,,,
resilience,"Yuddha ne hamare samuday ko test kiya hai, lekin hamari takat aur taaqat ka izhaar bhi hua hai. Rebuilding ki raah par chalna mushkil hai, lekin mumkin hai?????????????????.",,,,,,,,,,,,,,,,
frustration,"Yuddha ke consequences mein humein ek feeling of frustration hai. Aisa lagta hai ki hum kuch nahi kar sakte, lekin kya humein is frustration ko constructive change ke liye channelize karna chahiye?",,,,,,,,,,,,,,,,
empathy,Yuddha ne humein ek dusre ke dukh mein shaamil hone ki zarurat ko samajhne ka mauka diya hai. Hamara ek dusre ke prati samvedana aur sahayog ek majboot samvedana ko paida karta hai.??????????,,,,,,,,,,,,,,,,
compassion,"Yuddha ke baad, ek call to extend compassion not only to fellow humans but also to the suffering world around us. Ek collective effort to rebuild and protect the diverse forms of life that share our world.",,,,,,,,,,,,,,,,
grief,Yuddha ne humein bahut se masoomon ki mauton ka dukh diya hai. Hum sab milke unki yaadon ko sammanit karte hain aur unke saath anuyayi hain. ????????,,,,,,,,,,,,,,,,
gratitude,"Yuddha ke baad, gratitude humein yeh batata hai ki har ek pal, chahe woh insaan ho ya janwar, bahut keemti hai. Ek ahsaas ki humein har zindagi ki qadr karni chahiye.",,,,,,,,,,,,,,,,
shame,Yuddha ke dauran hume apne karmo par sharminda hone ka ehsaas hota hai.,,,,,,,,,,,,,,,,
hope,"Yuddha ke baad, umeed ka ek chhota sa kona nazar aata hai.",,,,,,,,,,,,,,,,
guilt,Yuddha ke fasle ne kuch logon ko apne faislon par khed mehsoos karne par majboor kiya hai.,,,,,,,,,,,,,,,,
disgust,Yuddha ke atyachar dekh kar vyakti mein ek gehra nafrat ka ehsaas hota hai.,,,,,,,,,,,,,,,,
hopelessness,"Yuddha ke baad, ek overwhelming sense of hopelessness chha jata hai.???????????????????",,,,,,,,,,,,,,,,
resilience,"Yuddha ne humare samarthya ki pareeksha li hai, lekin hum phir bhi khade hain.",,,,,,,,,,,,,,,,
frustration,"Yuddha ke parinaam se humein ek frustration ka ehsaas hota hai, jab humein kuch nahi karne ka lagta hai.",,,,,,,,,,,,,,,,
empathy,Yuddha ne humein ek dusre ke dard ko samajhne ke liye badhawa diya hai.??????????,,,,,,,,,,,,,,,,
compassion,"Yuddha ke baad, ek call hai compassion ko badhane ka, na sirf insano ke liye, balki duniya ke liye bhi.",,,,,,,,,,,,,,,,
grief,Yuddha mein humein bahut se masoomon ki mauton ka dukh hota hai. ??????,,,,,,,,,,,,,,,,
gratitude,"Yuddha ke baad, gratitude hume yeh sikhata hai ki har pal ka qadr karna zaroori hai.",,,,,,,,,,,,,,,,
guilt,War ke dauran liye gaye faislon se kuch log apne aap ko guilt mehsoos karte hain.,,,,,,,,,,,,,,,,
grief,Har yuddha se humein bahut se apno ki mauton ka dukh hota hai. ??????????????,,,,,,,,,,,,,,,,
empathy,"Yuddha ke baad, humein ek dusre ke dard ko samajhne ki kshamata milti hai.",,,,,,,,,,,,,,,,
resilience,"Yuddha ne hume dikhaya hai ki insani shakti mein kitna dum hota hai, aur hum uss par vishwas karte hain.",,,,,,,,,,,,,,,,
compassion,"Yuddha ke parinaam swaroop, humein ek dusre ke prati dayalu banne ki zarurat hai.",,,,,,,,,,,,,,,,
frustration,"Yuddha ke natije se humein ek frustration ka ehsaas hota hai, lekin kuch log isse positive change mein badalne ki koshish karte hain.",,,,,,,,,,,,,,,,
hopelessness,"Yuddha ke baad, ek overwhelming sense of hopelessness chha gaya hai, lekin kuch logon mein abhi bhi asha ki kiran hai.?????????????",,,,,,,,,,,,,,,,
gratitude,"Yuddha ke bavjud bhi, gratitude humein yeh sikhata hai ki humein apne zindagi aur pyaaron ka kimti honsla rakhna chahiye.",,,,,,,,,,,,,,,,
disgust,Yuddha mein huye kuch ghatnakon se logon mein ek gahra nafrat ka ehsaas hota hai.,,,,,,,,,,,,,,,,
hope,"Yuddha ke baad bhi, kuch log umeed se bhare hain ki hum ek behtar bhavishya ki ore badh rahe hain.",,,,,,,,,,,,,,,,
shame,"Yuddha ke asar se, kuch log apne samaj ko ek naye drishtikon se dekh rahe hain, aur unhe is baat ka ehsaas hai ki humein apne actions par gaur karna chahiye.",,,,,,,,,,,,,,,,
hope,"Yuddha ke baavjud, kuch log umeed mein hain ki hum ek saath milkar is mushkil samay se bahar nikalenge aur ek majboot samaj banayenge.",,,,,,,,,,,,,,,,
guilt,"guilt ek bhari bojh hai, jo un logon ke upar hota hai jo yuddha ke dauran kuch faisle lete hain. Woh is bojh ko mehsoos karte hain aur sudhar ki talash mein hote hain.",,,,,,,,,,,,,,,,
disgust,"Yuddha ke horrors dekh kar, logon mein ek gehra nafrat ka ehsaas hota hai. Inhumanity ke khilaaf, insaan aur janvaron par gehra asar hota hai.",,,,,,,,,,,,,,,,
resilience,"Yuddha ke parinaam swaroop, humein yeh sikhata hai ki insani aur janvari samuday mein kitni taakat hai ki woh tabahi se bahar nikal sakte hain?????????????????.",,,,,,,,,,,,,,,,
frustration,"Yuddha ke consequences mein humein frustration ka mehsoos hota hai. Aisa lagta hai ki hum kuch nahi kar sakte, lekin kuch log is frustration ko positive change mein badalne ka prayas karte hain.",,,,,,,,,,,,,,,,
gratitude,"Yuddha ke baad bhi, gratitude humein yeh sikhata hai ki humein apne zindagi aur pyaaron ka kimti honsla rakhna chahiye.",,,,,,,,,,,,,,,,
grief,"Yuddha ke karan huye nuksaan par, logon mein ek samvedana bani rehti hai. Hum ek dusre ke saath milke apne chhote-chhote kshatiyon ka samna karte hain.",,,,,,,,,,,,,,,,
empathy,"Yuddha ke dauran, samvedana ban jati hai jo logon ko ek dusre ke dard ko mehsoos karne mein madad karti hai.",,,,,,,,,,,,,,,,
compassion,"Yuddha ke baad, compassion ek badi bhumika nibhata hai, jise extend karke hum apne samaj ko dobara banane ki aur badhate hain.",,,,,,,,,,,,,,,,
gratitude,"Shukriya ka ehsaas badhta hai, khaamoshiyon mein zindagiyo ke aapas mein judne ka. Musibat ka samna karte hue, har pal ki qadr karna, yeh humara rasta pradarshit karta hai.",,,,,,,,,,,,,,,,
guilt,"guilt ka bojh saath chalta hai, war ke andhere mein liye gaye faisle ka ek bhayanak smarank. Kya humare galtiyon ko maan lena, mukti aur shifa ki taraf ka rasta banasakta hai?",,,,,,,,,,,,,,,,
hopelessness,"hopelessness lambi chhaon daalti hai, lekin iske andar, resilience ke beej chhup jaate hain. Ek yaad dilane wala hai ki sabse andhere palon mein bhi, insani atma mein jeene aur dobara banana ki shakti hai.???????????????????",,,,,,,,,,,,,,,,
grief,"Dukh se ghoonth chali hai, samudaay ke dil mein, jinka shok hai yudh ke vinash ne ghaera. Har aatma ko yaad kiya jata hai, har kahani unki yaadon mein shaamil hai. ??????????????????",,,,,,,,,,,,,,,,
empathy,"empathy ek pul ban jaata hai, jo yudh ke tez tano ko mahsus kar chuke dil se dil milata hai. Ek doosre ke dukh ko samajhne mein, kya hum shifa ke liye zaroori samvedana ka maidan khol sakte hain???????????",,,,,,,,,,,,,,,,
frustration,"frustration yudh ke parinaam saamne aate hain, ek badlav ki guhar ko mehsoos karte hain. Kya yeh frustration hamara ekshaan ko jala sakti hai?",,,,,,,,,,,,,,,,
resilience,"resilience raunak lekar samne aata hai, insaniyat ki atal bhavna ka praman. Vinash ke bawajood, punarnirman ki ichha ek shaktishaali bal banti hai.",,,,,,,,,,,,,,,,
compassion,"compassion ek kriyashil shakti ban jaata hai, jo humein nahi sirf humare saathi insano ke liye balki duniya mein chot khaye hue har jeev ke liye bhi meherbaani badhane ke liye kehta hai.",,,,,,,,,,,,,,,,
gratitude,"Sab kuch kho diya hai, lekin kuch cheezein toh bachi hain. Shukriya un lamhon ka, jinmein mohabbat aur pyaar tha.",,,,,,,,,,,,,,,,
guilt,"Roz raat ko sone se pehle, yeh sochta hoon ki kya maine galat kadam uthaya hai? Kya meri galti ne mujhe aur meri family ko is halat mein daal diya?",,,,,,,,,,,,,,,,
hopelessness,Kuch dino se lagta hai jaise sab kuch khatam ho gaya hai. Kya is zindagi ko dobara basaaya ja sakta hai????????????????????,,,,,,,,,,,,,,,,
grief,"Har roz ek naya dukh, har pal mein kisi na kisi ko yaad karna. Yeh dard aur takleef humare dilo ko choo gaya hai.",,,,,,,,,,,,,,,,
empathy,"Har shakhs apne apne dukh mein dooba hua hai. Hum ek doosre ke dukh mein sharik hain, ek doosre ko samajh rahe hain.",,,,,,,,,,,,,,,,
frustration,"Kya koi sunega? Har jagah frustration hai, kyun ki humein mehsoos hota hai ki hum kuch nahi kar sakte, par kuch karna zaroori hai.",,,,,,,,,,,,,,,,
resilience,"Humare dil mein bhi toofan chhaya hua hai, par humein dobara khada hone ki taaqat milti hai. Har naye din mein, ek nayi koshish ki taraf badhna.",,,,,,,,,,,,,,,,
compassion,"Duniya ne hume takleef di hai, lekin is dukh bhari duniya mein bhi humein ek doosre ke saath mehsoos karne ka mauka diya hai. Ek doosre ki madad mein, saath chalne mein, yehi humara hosla badha raha hai.",,,,,,,,,,,,,,,,
grief,"Har lamha mein ek aur yaad. Har chhat pe, har raaste mein, har kona mein, kisi na kisi ki yaadon ka saya hai. ??????????????????",,,,,,,,,,,,,,,,
empathy,Hum sab ek doosre ke saath hai. Dukh aur takleef ne humein ek doosre ke paas laya hai. Ismein hamara ek alag hi rishta hai.????,,,,,,,,,,,,,,,,
empathy,"Har kisi ka apna kahani hai, har kisi ke dil mein chhupa hua dard hai. Hum ek doosre ko samajh rahe hain, aur ek doosre ka saath de rahe hain.",,,,,,,,,,,,,,,,
resilience,"Yeh toofan bhi guzar jayega. Humne toofano ka samna kiya hai, aur hum phir se khade hokar apni zindagi ko nayi raah par le jayenge?????????????????.",,,,,,,,,,,,,,,,
resilience,"Har mushkil ka hal humare andar chhupa hua hai. Bas, humein uss raah ko dhoondhna hai. Fir chahe jo bhi aaye, hum tayyar hain?????????????????.",,,,,,,,,,,,,,,,
compassion,"Har kona, har janwar, har insaan - sabhi ek doosre ke liye mahatva purna hai. Humein ek doosre ke saath rehne ki zarurat hai, ek doosre ki madad karne ki zarurat hai.",,,,,,,,,,,,,,,,
frustration,Kya humein yeh sab bardasht karna padega? Kyun humein yeh sab sahaana pad raha hai? Yeh sawaal roz humare dil mein ghoomta hai.,,,,,,,,,,,,,,,,
shame,Yudh se hinsa aur tabahi ka ahsaas hota hai. Public safety ko ignore karna ek badi sharmnak galti hai. ??,,,,,,,,,,,,,,,,
shame,Public safety ke liye kisi bhi desh ka bhaavnaatmak dhyan nahi dena ek bhayanak sharmnak hai. ?????,,,,,,,,,,,,,,,,
guilt,Yudh ke karan hamare desh ka naam roshan karna mushkil ho jaata hai. Public safety ko ignore karna ek jurm hai. ??,,,,,,,,,,,,,,,,
hopelessness,"Yudh ka ant nahi dikhta, aur isse hamare dil mein niraasha bhar jaati hai. Public safety ke liye kuch karna zaroori hai. ??",,,,,,,,,,,,,,,,
frustration,Yudh ke karan hamara samaj aur vatavaran barbaad ho raha hai. Is tabahi se bahut khijh aati hai. ??,,,,,,,,,,,,,,,,
frustration,Yudh se aane wale nuksanon ko dekhkar gussa aa raha hai. Public safety ko ignore karna bilkul bhi sahi nahi hai. ??,,,,,,,,,,,,,,,,
disgust,"Yudh se hamare vatavaran ko nuksan hota hai, aur yeh kroor hai. Public safety ko ignore karna ek ghinna ka kaam hai. ??",,,,,,,,,,,,,,,,
grief,"Yudh ke karan hum apnon ko khote hain, aur yeh dukh bhara hai. Public safety ka dhyan rakhna hamein bacha sakta hai. ??",,,,,,,,,,,,,,,,
empathy,Yudh ke karan peedit logon ki madad karna hamara farz hai. Public safety ke liye saath dena zaroori hai. ??,,,,,,,,,,,,,,,,
resilience,Yudh ke bawajood humein strong rehna hoga. Public safety ko prioritise karna hamein majboot banayega. ??,,,,,,,,,,,,,,,,
compassion,Yudh ke chalte peedit logon ki madad karna hamara insaani farz hai. Public safety ke liye saath dena zaroori hai. ??,,,,,,,,,,,,,,,,
gratitude,"Yudh ke bawajood, humein shaanti ka ahsaas hai aur iske liye hamara shukriya ada karna chahiye. ??",,,,,,,,,,,,,,,,
fear,"Yuddh ke bhay mein, ghar, vyapar, aur swasthya ka khona sir par chadha hua hai. ?? Ab samay hai shanti ke liye ek saamuhik awaz uthane ka.",,,,,,,,,,,,,,,,
fear,"Har din, yudh ke khatre se dil ghabrata hai. Apne sapno ka ant nahin dekhna chahte. ?? StopTheWar PrayForPeace",,,,,,,,,,,,,,,,
anger,"Yudh ke karan khoya gaya sab kuch, iske khilaf mera gussa anant hai. Humara desh, humara haq. ?? NoToWar",,,,,,,,,,,,,,,,
anger,"Aman chahte hain, nafrat nahi. Yudh ke atyachaaron se bhara hua dil gusse se bhar gaya hai. ?? AgainstInjustice NeverBackDown",,,,,,,,,,,,,,,,
sadness,"Yudh ne sab kuch le liya hai - ghar, vyapar, aur sukh. Aankhon mein aansu chhupa hua hai. ?? WarTfearsApart HumanityCries",,,,,,,,,,,,,,,,
sadness,"Har roj, yudh ke nuksan se dil toota hai. Pyari cheezein gayab ho rahi hain, aur dukh badh raha hai. ?? LossIsDeep Wargrief",,,,,,,,,,,,,,,,
anxiety,"Yudh ka ant nahi dikhai deta, iske baare mein sochkar chinta hoti hai. Kab hoga yeh samapt? ?? AnxiousThoughts EndTheConflict",,,,,,,,,,,,,,,,
anxiety,Yudh ke baare mein sochkar aankhon mein aansu aate hain. Arthik sthiti ka anishchay aur bhi badh raha hai. ?? FinancialLoss,,,,,,,,,,,,,,,,
shame,Yudh ke atyachaaron ke liye sharminda hoon. Apne desh ka yeh drishya dekh kar dil dukhta hai. ?? shamefulWar ReflectAndChange,,,,,,,,,,,,,,,,
shame,Hum apne desh mein itne dukh bhara manzar kyun dekh rahe hain? Yeh samay hai sudharne ka. ????? StopTheWar ChangeForBetter,,,,,,,,,,,,,,,,
guilt,Desh ke liye kuch nahi kar paane ka gunaah satata hai. Hum sabko milke kuch karna hoga. ?? guiltTrip WishICouldHelp,,,,,,,,,,,,,,,,
guilt,"Yudh ko rokna hamara farz tha, par main kuch nahi kar paya. Yeh aatma ghanti bajati rahegi. ?? guiltTrip NoToWar",,,,,,,,,,,,,,,,
hopelessness,"Yudh ka ant nahi dikhai deta, aur yeh niraasha humein kuchal rahi hai. Kab hoga shanti ka waqt? ?? hopeless NoEndInSight",,,,,,,,,,,,,,,,
hopelessness,"Yudh ke chakkar mein, asha ki kiran bhi nahi dikh rahi. Hum sabko ek saath milkar badlav laana hoga. ?? NeverEndingStrife",,,,,,,,,,,,,,,,
frustration,Yudh dekh kar dil bhara hua hai frustration se. Yeh tabahi humare desh ko kyun dekhni pad rahi hai? ?? FrustratedHfeart,,,,,,,,,,,,,,,,
frustration,"Har din yudh ka ant dur hota ja raha hai, lekin frustration badhta ja raha hai. Kab tak yeh chalega? ?? EndlessConflict",,,,,,,,,,,,,,,,
disgust,Yudh ke kroor drishya se ghin aati hai. Humare desh mein itna kyun ho raha hai? ?? StopTheCarnage Wardisgust,,,,,,,,,,,,,,,,
disgust,Insaaniyat ke naam par kiye ja rahe yudh ke karan humein disgust hai. Aman ka daaman phailana zaroori hai. ??,,,,,,,,,,,,,,,,
grief,Yudh se ghar se beghar hokar logon ka dukh dekhkar dil bahut dukhta hai. WarTfearsApart HumanityCries ??,,,,,,,,,,,,,,,,
grief,"Humare desh ke yudh se itne logon ki jaan gayi, unke parivaaron ka gham kya hota",,,,,,,,,,,,,,,,
gratitude,"Despite the turmoil of war, let's be grateful for those who strive for peace and work towards a better world. ??",,,,,,,,,,,,,,,,
frustration,"Har din ek naya sawaal, har din ek nayi chunauti. Lekin humein himmat nahi haarni chahiye.",,,,,,,,,,,,,,,,
hopelessness,Kab tak yeh andhera rahega? Kab tak humein aise jeene ko majboor kiya jaayega?,,,,,,,,,,,,,,,,
disgust,"Har din ek nayi khabar, har din ek aur vilin. Yeh sab dekh kar insaan ko apne aap par nafrat si hone lagti hai.",,,,,,,,,,,,,,,,
gratitude,"Phir bhi, kuch cheezein hain jo humein asliyat yaad dilati hain. Khud ko shukriya ada karna, apne aap ko aur apne aas-paas ke logon ko.",,,,,,,,,,,,,,,,
gratitude,"Har roz ek nayi subah, har subah ek nayi kiran. Shayad yeh humein dikhaye ki kuch naya shuruat ho sakti hai.",,,,,,,,,,,,,,,,
guilt,Aaj kal yeh sawaal mere mann mein ghoomta rehta hai - kya maine sahi cheezein ki hain? Kya meri kuch galtiyaan hain?,,,,,,,,,,,,,,,,
hopelessness,"Har roz ek nayi kahani sunte hain, har ek sunke dil mein ek nayi jagah khali ho jaati hai. Kya yeh khatam hoga kabhi?",,,,,,,,,,,,,,,,
grief,"Har maa apne bachon ke liye dua karti hai, ki unka bhavishya safe rahe. Lekin aaj kal yeh duaon ka asar hi nahi lagta, kyun?",,,,,,,,,,,,,,,,
empathy,Duniya bhar mein insaan aur janwar ek doosre ke saath hai. Unke dukh mein shaamil hone ka ehsaas bahut zaroori hai.??????????,,,,,,,,,,,,,,,,
frustration,"Har ek headline padhke lagta hai ki humein kuch karna chahiye, lekin phir lagta hai ki hum kya kar sakte hain?",,,,,,,,,,,,,,,,
disgust,"Kuch log sirf apne matlab ke liye kuch bhi karne ko taiyar hain, chahe uska koi bhi bhaavna ho. Inmein insaniyat kahan hai?",,,,,,,,,,,,,,,,
hope,"Har mushkil ka hal hai, bus humein ek doosre ko samajhne ka iraada rakhna chahiye. Shayad ismein hi humara future hoga.",,,,,,,,,,,,,,,,
resilience,"Har mushkil se guzarna part of life hai. Haar nahi, himmat se ladna, aur dobara kuch banane ka junoon - yeh humein zindagi mein aage badhne ka power deta hai.",,,,,,,,,,,,,,,,???????????????
compassion,Kya ek chhota sa act of kindness duniya ko badal sakta hai? Shayad haan. Isiliye humein apne aspaas ke logon ki madad karna chahiye.,,,,,,,,,,,,,,,, ??????????????????
hopelessness,"Har cheez badal rahi hai, aur lagta hai ki kuch bhi control mein nahi hai. Phir bhi, kyun lagta hai ki kahin na kahin ek tareeka zaroor milega??????????????",,,,,,,,,,,,,,,,
gratitude,"Har subah ek nayi roshni lekar aati hai. Ek nayi din, ek nayi shuruaat. Yeh khayal mujhe gratitude ka ehsaas dilata hai.",,,,,,,,,,,,,,,,
guilt,"Har din lagta hai ki kuch galat ho raha hai, aur shayad hum sab ek chhota sa hissa hain iss bade problem ka. Kya hum yeh sudhar sakte hain?",,,,,,,,,,,,,,,,
guilt,"Haal hi mein jo bhi faisley maine liye hain, lagta hai unka bojh mere kandhon par hai. Kya maine sahi cheezein ki hain, ya galtiyaan?",,,,,,,,,,,,,,,,
hopelessness,"Har din ek nayi kahani laata hai, aur har ek chhod jaata hai dil mein ek khali jagah. Kya yeh kabhi khatam hoga?????????????",,,,,,,,,,,,,,,,
grief,Har maa apne bachon ke bhavishya ke liye dua karti hai. Lekin aaj-kal lagta hai ki in duaon ka asar kam ho gaya hai. Kyun?,,,,,,,,,,,,,,,,
empathy,Duniya ek saanjha sthal hai humare liye aur humare pashu-mitraon ke liye. Unki dard ko mahsoos karna humari saanjha vastavikta ke liye mahatva purna hai.????,,,,,,,,,,,,,,,,
frustration,"Kuch samachaar karyakram kadam uthane ko keh rahe hain, lekin fir bhi lagta hai ki hum bahut kuch nahi kar sakte. Hum sach mein kya kar sakte hain?",,,,,,,,,,,,,,,,
disgust,"Kuch log apne laabh ke liye kuch bhi karne ko tayyar hain, par unke prabhaav ke pariprekshya mein, insaaniyat kahan hai?",,,,,,,,,,,,,,,,
hope,"Har samasya ke liye samadhan mojood hai; bas hamare paas doosre ko samajhne ki iraada hona chahiye. Shayad, isme hi hamara bhavishya chhupa hua hai.",,,,,,,,,,,,,,,,
resilience,"Chunnautiyon ka saamna zindagi ka ek hissa hai. Yeh us baat ka hissa hai ki kabhi bhi haar nahi maanani chahiye, hosle se ladna chahiye, aur fir se banane ki iraada rakhna chahiye.",,,,,,,,,,,,,,,,
compassion,"Kya ek chhota sa uphaar duniya ko badal sakta hai? Shayad, haan. Isliye humein un logon ki madad karni chahiye jo hamare aas-paas hain.",,,,,,,,,,,,,,,,
hopelessness,"Har cheez badal rahi hai, aur lagta hai ki kuch bhi control mein nahi hai. Fir bhi, kyun lagta hai ki kahin na kahin koi rasta hoga??????????????????",,,,,,,,,,,,,,,,
gratitude,"Har subah ek naya ujala laati hai. Ek naya din, ek naya shuruwat. Yeh soch mujhe kritagyata ka anubhav karati hai.",,,,,,,,,,,,,,,,
guilt,"Har din lagta hai jaise kuch galat ho raha hai, aur shayad hum sab iss bade samasya ka ek chhota sa hissa hain. Kya hum ise sudhar sakte hain?",,,,,,,,,,,,,,,,
hope,"Har mushkil ka hal humare andar hi chhupa hota hai. Andheron mein bhi, humein ummeed hai ki hum saath milkar ek behtar kal bana sakte hain.",,,,,,,,,,,,,,,,
disgust,"Har khabar mein hai aise karyakshetra jo hume dukhi kardete hain. Kaise pahunch gaye hum iss point tak, jahaan insaniyat ne lobh aur shakti ke aage apna rang kho diya hai, ye sochna bhi gandi baat hai.",,,,,,,,,,,,,,,,
frustration,"Rozki jung humein yeh sochne par majboor karta hai ki kya yeh system humare bhala ke liye hai, ya hum bas ek chakkar mein ghoom rahe hain jo sirf kuch chuninda logo ko fayda pahunchata hai.",,,,,,,,,,,,,,,,
empathy,"Hum apne aapas mein vibhajit hone ka ahsaas kyun karte hain? Ek dusre ke dard ko samajhna, ek dusre ke saath bada hokar jeena, yeh hamare liye ek chhota sa kadam hai jo bada parivartan la sakta hai.????????",,,,,,,,,,,,,,,,
resilience,"Musibat ka saamna karne ki kshamata humare andar hai. Jab hum samasyaon ka saamna karte hain, tab hamari atmakatha ko fir se likhne ki ichha bhi humare andar ubhar aati hai.",,,,,,,,,,,,,,,,
compassion,"Daya hume sirf insano tak hi nahi, balki janvaron, paryavaran aur har jivit vastu ke prati bhi badhne wala pyaar hai. Daya bhavna hamare duniya ko ek samvedansheel disha mein le jane ka ek madhyam hai.",,,,,,,,,,,,,,,,
guilt,"guilt ek vyakti ke jeevan par bhaari hota hai. Lekin yeh hume yeh bhi yaad dilata hai ki humein apni galtiyon se seekh lena chahiye, sudhar karna chahiye, aur apne moolyon ke anuroop chunav karna chahiye.",,,,,,,,,,,,,,,,
hopelessness,"hopelessness ka bojh humare man par hai, lekin iske andar hi badlav ki ek avsar chhupa hai. Yeh ek karyakram hai, ek kriyanvay, ek chhota sa prayas bhi, jo andhere mein ek nayi kiran ban sakta hai.???????????",,,,,,,,,,,,,,,,
shame,"shame ek complex bhavana hai, lekin yeh hamare samjhdari ka sanket hai. Yeh hume yeh sikhaati hai ki humein ek aisa sansar banana chahiye, jahan hamare karyo se sabka bhala ho.",,,,,,,,,,,,,,,,
gratitude,"Hamesha kumkum bhara rehna, gratitude hume sambhalta hai. Yeh humein duniya mein jo bhi khoobsurat hai, anjaanon ki meherbani aur chhote chhote khushiyo ki ahmiyat yaad dilata hai.",,,,,,,,,,,,,,,,
fear,"The looming threat of war sends shivers down my spine. The world holds its breath, fearing the unknown.",,,,,,,,,,,,,,,,
fear,Main bahut dukhi hoon! War crisis ka khatra hum sabke dil mein hai.,,,,,,,,,,,,,,,,
anger,Why do leaders resort to violence instead of dialogue? anger boils within me as I witness the consequences of their actions.,,,,,,,,,,,,,,,,
anger,"Baat-cheet ki jagah, leaders jung ka rasta kyun chuntay hain? Gussa is halat mein badh raha hai.",,,,,,,,,,,,,,,,
sadness,"The devastation of war brings tfears to my eyes. Innocent lives lost, families shattered—such profound sadness.",,,,,,,,,,,,,,,,
sadness,"Jung ka tabahi bhari hua hai. Masoomon ki maut, parivaar tootay—aisa dukh hota hai dil ko.",,,,,,,,,,,,,,,,
anxiety,"Anxious about the uncertain future. Will there be peace, or are we on the brink of chaos? Chinta se bhari hui hai kal ki khatraat. Shaanti hogi ya hum toofan ke kareeb hain?",,,,,,,,,,,,,,,,
anxiety,Kal ki anjaam se pareshan hoon. Shaanti milegi ya hum toofan ke kareeb hain?,,,,,,,,,,,,,,,,
shame,"It's shameful that humanity resorts to war, causing untold suffering. Let's reflect on our collective actions.",,,,,,,,,,,,,,,,
shame,"Sharm aani chahiye humein ki hum insaniyat mein jung ka rasta chunte hain, jo ki bahut dukh laata hai.",,,,,,,,,,,,,,,,
guilt,"guilt se bhara dil, as I think about the impact of war on our planet. Are we leaving a legacy of destruction for future generations?",,,,,,,,,,,,,,,,
guilt,"Jung ka asar humare bhavishya par kaisa padega, ye soch kar dil bhari hui hai. Kya hum nasht kar rahe hain aane waali pidhiyon ke liye?",,,,,,,,,,,,,,,,
hopelessness,A sense of hopelessness grips me. Will the world ever break free from the cycle of war and destruction?,,,,,,,,,,,,,,,,
